nct_id,title,phase,study_type,status,condition,interventions,country,start_date,primary_completion_date,completion_date,last_update
NCT04851613,Study to Evaluate Efficacy & Safety of Afuresertib Plus Fulvestrant in Patients With Locally Advanced or Metastatic HR+/HER2- Breast Cancer,,N/A,RECRUITING,,,"United States, United States, United States, United States, United States, United States, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China, China",,,,
NCT05913713,HIIT Following Breast Cancer Chemotherapy,,N/A,RECRUITING,,,United States,,,,
NCT04986579,Scalp Cooling in MBC,,N/A,RECRUITING,,,"United States, United States",,,,
NCT07173751,ROSETTA Breast-01: The Effects and Safety of Pumitamig in Patients With Triple-Negative Breast Cancer,,N/A,RECRUITING,,,United States,,,,
NCT07038369,A Phase 1 Study of ATV-1601 in Patients With Advanced Cancer That Have AKT1 E17K Mutations,,N/A,RECRUITING,,,"United States, United States, United States, United States, United States, United States, United States, United States, Spain, Spain",,,,
NCT05870579,"[177Lu]Lu-NeoB in Combination With Ribociclib and Fulvestrant in Participants With ER+, HER2- and GRPR+ Advanced Breast Cancer",,N/A,RECRUITING,,,"United States, United States, United States, United States, United States, United States, China, China, China, France, France, France, France, France, Germany, Germany, Germany, Germany, Poland, Portugal, Spain, Spain, Spain, Spain, Spain",,,,
NCT06813053,A Novel Patient Decision Aid for Surgical Treatment Options in Early-Stage Breast Cancer,,N/A,RECRUITING,,,"United States, United States, United States",,,,
NCT03740256,"Binary Oncolytic Adenovirus in Combination With HER2-Specific Autologous CAR VST, Advanced HER2 Positive Solid Tumors",,N/A,RECRUITING,,,United States,,,,
NCT05795101,TRUDI: TDXD+Durva in HER2+/Low IBC,,N/A,RECRUITING,,,"United States, United States, United States",,,,
NCT05534438,A Study on Adding Precisely Targeted Radiation Therapy (Stereotactic Body Radiation Therapy) to the Usual Treatment Approach (Drug Therapy) in People With Breast Cancer,,N/A,RECRUITING,,,"United States, United States, United States, United States, United States, United States, United States, United States",,,,
NCT06957535,Community-led Navigation to Address Disparities in Mammography Among Native American Women,,N/A,RECRUITING,,,United States,,,,
NCT06998407,"Study of AVZO-023 as a Single Agent and in Combination With AVZO-021, and/or Endocrine Therapy in Advanced Solid Tumors",,N/A,RECRUITING,,,"United States, United States, United States, United States, United States, United States, United States, United States",,,,
NCT04568616,Phase II Study of Neoadjuvant ArOMatase Inhibitor Therapy for ER+ Breast Cancer (NAOMI),,N/A,RECRUITING,,,"United States, United States",,,,
NCT05645471,Together After Cancer,,N/A,RECRUITING,,,"United States, United States, United States",,,,
NCT05528133,Genomically Guided Radiation Therapy in the Management of Triple Negative Breast Cancer,,N/A,RECRUITING,,,"United States, United States",,,,
NCT05187832,A Study of AND019 in Women With ER Positive HER2 Negative Advanced or Metastatic Breast Cancer,,N/A,RECRUITING,,,United States,,,,
NCT05748834,Study of Tucatinib and Doxil in Participants With Human Epidermal Growth Factor Receptor 2 Positive (HER2+) Metastatic Breast Cancer,,N/A,RECRUITING,,,"United States, United States, United States, United States, United States, United States, United States, United States",,,,
NCT06831838,A Randomized Controlled Trial (RCT) to Determine the Efficacy of a Multidisciplinary CBT Based Pain Management Program for the Treatment of Aromatase Inhibitor Associated Musculoskeletal Symptoms (AIMSS) in Breast Cancer Survivors,,N/A,RECRUITING,,,United States,,,,
